    z_comp(1)    z_comp(2)    z_comp(3) loop_x       Tflash       Pflash      cond(1)   stabvar(1)  phasfrac(1)      x(01;1)      x(02;1)      x(03;1)      cond(2)   stabvar(2)  phasfrac(2)      x(01;2)      x(02;2)      x(03;2)      cond(3)   stabvar(3)  phasfrac(3)      x(01;3)      x(02;3)      x(03;3)      cond(4)   stabvar(4)  phasfrac(4)      x(01;4)      x(02;4)      x(03;4)      cond(5)   stabvar(5)  phasfrac(5)      x(01;5)      x(02;5)      x(03;5)      cond(6)   stabvar(6)  phasfrac(6)      x(01;6)      x(02;6)      x(03;6)      conv_FE       conv_x  phfr<0   swref  stvr<0   toosm  collps         x_rf        NR_rf       MI_aux  
  9.90000E-01  5.00000E-03  5.00000E-03     15  2.35497E+02  1.00000E+05           S1  0.00000E+00  0.00000E+00  8.85386E-01  1.14614E-01  0.00000E+00            L  3.68479E-01  0.00000E+00  1.00000E+00  2.30385E-09  6.20076E-10            V  0.00000E+00  5.71412E-03  1.70324E-04  7.85521E-01  2.14309E-01            L  1.26436E+00  0.00000E+00  8.87068E-04  3.78019E-01  6.21094E-01           S2  0.00000E+00  7.72006E-02  9.44471E-01  6.62480E-03  4.89039E-02          ICE  0.00000E+00  9.17085E-01  1.00000E+00  1.59377E-09  4.28959E-10  2.26941E-14  2.55215E-10       0       0       0       0       0  1.91618E-08  2.82007E-12  3.54176E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.35676E+02  1.01000E+05           S1  0.00000E+00  0.00000E+00  8.85388E-01  1.14612E-01  0.00000E+00            L  3.66641E-01  0.00000E+00  1.00000E+00  2.29927E-09  6.18840E-10            V  0.00000E+00  5.71061E-03  1.72053E-04  7.85502E-01  2.14326E-01            L  1.26105E+00  0.00000E+00  8.93718E-04  3.78536E-01  6.20570E-01           S2  0.00000E+00  7.72641E-02  9.44471E-01  6.65640E-03  4.88722E-02          ICE  0.00000E+00  9.17025E-01  1.00000E+00  1.59353E-09  4.28892E-10  1.39622E-14  1.89356E-09       0       0       0       0       0  1.41801E-07  1.10081E-08  3.53414E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.35856E+02  1.02010E+05           S1  0.00000E+00  0.00000E+00  8.85391E-01  1.14609E-01  0.00000E+00            L  3.64801E-01  0.00000E+00  1.00000E+00  2.29470E-09  6.17604E-10            V  0.00000E+00  5.70708E-03  1.73801E-04  7.85483E-01  2.14343E-01            L  1.25774E+00  0.00000E+00  9.00416E-04  3.79055E-01  6.20045E-01           S2  0.00000E+00  7.73280E-02  9.44472E-01  6.68815E-03  4.88403E-02          ICE  0.00000E+00  9.16965E-01  1.00000E+00  1.59329E-09  4.28824E-10  2.13775E-14  1.92517E-09       0       0       0       0       0  1.44374E-07  1.09976E-08  3.52654E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.36036E+02  1.03030E+05           S1  0.00000E+00  0.00000E+00  8.85394E-01  1.14606E-01  0.00000E+00            L  3.62960E-01  0.00000E+00  1.00000E+00  2.29013E-09  6.16367E-10            V  0.00000E+00  5.70353E-03  1.75565E-04  7.85465E-01  2.14360E-01            L  1.25444E+00  0.00000E+00  9.07163E-04  3.79574E-01  6.19519E-01           S2  0.00000E+00  7.73924E-02  9.44472E-01  6.72004E-03  4.88083E-02          ICE  0.00000E+00  9.16904E-01  1.00000E+00  1.59305E-09  4.28754E-10  1.87637E-14  1.95753E-09       0       0       0       0       0  1.46993E-07  1.09860E-08  3.51894E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.36216E+02  1.04060E+05           S1  0.00000E+00  0.00000E+00  8.85396E-01  1.14604E-01  0.00000E+00            L  3.61116E-01  0.00000E+00  1.00000E+00  2.28556E-09  6.15129E-10            V  0.00000E+00  5.69994E-03  1.77348E-04  7.85446E-01  2.14376E-01            L  1.25113E+00  0.00000E+00  9.13959E-04  3.80095E-01  6.18991E-01           S2  0.00000E+00  7.74574E-02  9.44472E-01  6.75208E-03  4.87761E-02          ICE  0.00000E+00  9.16843E-01  1.00000E+00  1.59280E-09  4.28682E-10  1.24360E-14  1.99001E-09       0       0       0       0       0  1.49662E-07  1.09795E-08  3.51135E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.36397E+02  1.05101E+05           S1  0.00000E+00  0.00000E+00  8.85399E-01  1.14601E-01  0.00000E+00            L  3.59271E-01  0.00000E+00  1.00000E+00  2.28100E-09  6.13890E-10            V  0.00000E+00  5.69633E-03  1.79148E-04  7.85429E-01  2.14392E-01            L  1.24781E+00  0.00000E+00  9.20804E-04  3.80617E-01  6.18463E-01           S2  0.00000E+00  7.75228E-02  9.44472E-01  6.78427E-03  4.87438E-02          ICE  0.00000E+00  9.16781E-01  1.00000E+00  1.59256E-09  4.28609E-10  1.18753E-14  2.02350E-09       0       0       0       0       0  1.52378E-07  1.09686E-08  3.50377E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.36577E+02  1.06152E+05           S1  0.00000E+00  0.00000E+00  8.85402E-01  1.14598E-01  0.00000E+00            L  3.57424E-01  0.00000E+00  1.00000E+00  2.27644E-09  6.12650E-10            V  0.00000E+00  5.69269E-03  1.80967E-04  7.85412E-01  2.14408E-01            L  1.24450E+00  0.00000E+00  9.27699E-04  3.81139E-01  6.17933E-01           S2  0.00000E+00  7.75887E-02  9.44472E-01  6.81660E-03  4.87113E-02          ICE  0.00000E+00  9.16719E-01  1.00000E+00  1.59232E-09  4.28534E-10  5.92360E-15  2.05760E-09       0       0       0       0       0  1.55143E-07  1.09575E-08  3.49619E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.36758E+02  1.07214E+05           S1  0.00000E+00  0.00000E+00  8.85404E-01  1.14596E-01  0.00000E+00            L  3.55576E-01  0.00000E+00  1.00000E+00  2.27189E-09  6.11409E-10            V  0.00000E+00  5.68903E-03  1.82803E-04  7.85395E-01  2.14423E-01            L  1.24119E+00  0.00000E+00  9.34643E-04  3.81663E-01  6.17402E-01           S2  0.00000E+00  7.76550E-02  9.44472E-01  6.84908E-03  4.86787E-02          ICE  0.00000E+00  9.16656E-01  1.00000E+00  1.59207E-09  4.28457E-10  8.22110E-15  2.09193E-09       0       0       0       0       0  1.57961E-07  1.09494E-08  3.48862E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.36939E+02  1.08286E+05           S1  0.00000E+00  0.00000E+00  8.85407E-01  1.14593E-01  0.00000E+00            L  3.53725E-01  0.00000E+00  1.00000E+00  2.26734E-09  6.10167E-10            V  0.00000E+00  5.68534E-03  1.84658E-04  7.85378E-01  2.14437E-01            L  1.23787E+00  0.00000E+00  9.41637E-04  3.82188E-01  6.16870E-01           S2  0.00000E+00  7.77219E-02  9.44472E-01  6.88171E-03  4.86459E-02          ICE  0.00000E+00  9.16593E-01  1.00000E+00  1.59183E-09  4.28379E-10  1.83715E-14  2.12753E-09       0       0       0       0       0  1.60827E-07  1.09362E-08  3.48106E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.37121E+02  1.09369E+05           S1  0.00000E+00  0.00000E+00  8.85410E-01  1.14590E-01  0.00000E+00            L  3.51873E-01  0.00000E+00  1.00000E+00  2.26279E-09  6.08924E-10            V  0.00000E+00  5.68162E-03  1.86532E-04  7.85362E-01  2.14451E-01            L  1.23455E+00  0.00000E+00  9.48683E-04  3.82714E-01  6.16337E-01           S2  0.00000E+00  7.77893E-02  9.44473E-01  6.91449E-03  4.86129E-02          ICE  0.00000E+00  9.16529E-01  1.00000E+00  1.59158E-09  4.28299E-10  1.26320E-14  2.16352E-09       0       0       0       0       0  1.63746E-07  1.09256E-08  3.47351E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.37303E+02  1.10462E+05           S1  0.00000E+00  0.00000E+00  8.85412E-01  1.14588E-01  0.00000E+00            L  3.50019E-01  0.00000E+00  1.00000E+00  2.25825E-09  6.07680E-10            V  0.00000E+00  5.67787E-03  1.88425E-04  7.85346E-01  2.14465E-01            L  1.23123E+00  0.00000E+00  9.55778E-04  3.83242E-01  6.15802E-01           S2  0.00000E+00  7.78572E-02  9.44473E-01  6.94743E-03  4.85799E-02          ICE  0.00000E+00  9.16465E-01  1.00000E+00  1.59133E-09  4.28217E-10  1.92786E-14  2.19979E-09       0       0       0       0       0  1.66721E-07  1.09178E-08  3.46596E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.37485E+02  1.11567E+05           S1  0.00000E+00  0.00000E+00  8.85415E-01  1.14585E-01  0.00000E+00            L  3.48163E-01  0.00000E+00  1.00000E+00  2.25371E-09  6.06435E-10            V  0.00000E+00  5.67409E-03  1.90337E-04  7.85331E-01  2.14479E-01            L  1.22791E+00  0.00000E+00  9.62926E-04  3.83770E-01  6.15267E-01           S2  0.00000E+00  7.79257E-02  9.44473E-01  6.98051E-03  4.85466E-02          ICE  0.00000E+00  9.16400E-01  1.00000E+00  1.59108E-09  4.28134E-10  1.74566E-14  2.23711E-09       0       0       0       0       0  1.69748E-07  1.09069E-08  3.45842E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.37667E+02  1.12683E+05           S1  0.00000E+00  0.00000E+00  8.85418E-01  1.14582E-01  0.00000E+00            L  3.46305E-01  0.00000E+00  1.00000E+00  2.24917E-09  6.05190E-10            V  0.00000E+00  5.67028E-03  1.92268E-04  7.85316E-01  2.14492E-01            L  1.22459E+00  0.00000E+00  9.70124E-04  3.84300E-01  6.14730E-01           S2  0.00000E+00  7.79946E-02  9.44473E-01  7.01374E-03  4.85132E-02          ICE  0.00000E+00  9.16335E-01  1.00000E+00  1.59083E-09  4.28049E-10  3.05815E-14  2.27488E-09       0       0       0       0       0  1.72832E-07  1.08966E-08  3.45089E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.37849E+02  1.13809E+05           S1  0.00000E+00  0.00000E+00  8.85421E-01  1.14579E-01  0.00000E+00            L  3.44446E-01  0.00000E+00  1.00000E+00  2.24464E-09  6.03943E-10            V  0.00000E+00  5.66645E-03  1.94218E-04  7.85301E-01  2.14504E-01            L  1.22127E+00  0.00000E+00  9.77375E-04  3.84830E-01  6.14192E-01           S2  0.00000E+00  7.80640E-02  9.44473E-01  7.04713E-03  4.84797E-02          ICE  0.00000E+00  9.16270E-01  1.00000E+00  1.59058E-09  4.27962E-10  6.08772E-15  2.31355E-09       0       0       0       0       0  1.75971E-07  1.08869E-08  3.44336E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.38032E+02  1.14947E+05           S1  0.00000E+00  0.00000E+00  8.85423E-01  1.14577E-01  0.00000E+00            L  3.42584E-01  0.00000E+00  1.00000E+00  2.24011E-09  6.02695E-10            V  0.00000E+00  5.66259E-03  1.96188E-04  7.85287E-01  2.14517E-01            L  1.21794E+00  0.00000E+00  9.84678E-04  3.85362E-01  6.13653E-01           S2  0.00000E+00  7.81340E-02  9.44473E-01  7.08067E-03  4.84460E-02          ICE  0.00000E+00  9.16203E-01  1.00000E+00  1.59033E-09  4.27874E-10  6.07524E-15  2.35282E-09       0       0       0       0       0  1.79168E-07  1.08769E-08  3.43584E-02  
  9.90000E-01  5.00000E-03  5.00000E-03      4  2.38215E+02  1.16097E+05           S1  0.00000E+00  0.00000E+00  8.85426E-01  1.14574E-01  0.00000E+00            L  3.40721E-01  0.00000E+00  1.00000E+00  2.23559E-09  6.01447E-10            V  0.00000E+00  5.65869E-03  1.98177E-04  7.85274E-01  2.14528E-01            L  1.21461E+00  0.00000E+00  9.92033E-04  3.85895E-01  6.13113E-01           S2  0.00000E+00  7.82045E-02  9.44473E-01  7.11436E-03  4.84122E-02          ICE  0.00000E+00  9.16137E-01  1.00000E+00  1.59008E-09  4.27783E-10  5.45320E-15  2.39297E-09       0       0       0       0       0  1.82422E-07  1.08662E-08  3.42833E-02  
